date,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,PRECTOTCORR
2024-12-23,22.07,26.76,19.2,86.32,2.57,0.01
2024-12-24,21.69,28.14,17.49,79.18,2.83,0.0
2024-12-25,21.98,29.54,16.75,77.09,2.41,0.0
2024-12-26,22.68,29.44,17.84,78.33,2.61,0.0
2024-12-27,23.32,29.39,18.51,81.35,2.68,0.01
2024-12-28,23.93,30.2,19.42,79.1,2.44,0.48
2024-12-29,24.68,31.72,19.49,73.57,2.69,0.04
2024-12-30,24.62,31.87,19.45,69.71,3.09,0.0
2024-12-31,24.68,32.93,19.06,65.9,3.18,0.0
2025-01-01,24.25,31.99,18.33,68.91,3.17,0.0
2025-01-02,24.18,33.01,18.0,59.35,3.56,0.0
2025-01-03,22.78,32.73,14.93,51.64,4.12,1.2
2025-01-04,22.4,32.64,15.09,52.93,3.58,0.0
2025-01-05,22.43,31.0,17.17,57.64,2.44,0.0
2025-01-06,21.63,30.08,16.0,61.43,3.17,0.0
2025-01-07,22.27,31.76,14.7,58.15,3.26,0.0
2025-01-08,22.38,31.15,15.45,55.6,3.96,0.02
2025-01-09,22.55,31.16,14.74,47.35,3.88,0.0
2025-01-10,22.74,31.04,15.96,56.5,3.41,0.0
2025-01-11,22.49,28.93,18.59,64.19,2.57,0.0
2025-01-12,22.18,30.66,16.27,64.08,2.99,0.0
2025-01-13,23.7,32.12,16.7,63.03,3.8,0.0
2025-01-14,24.32,32.67,17.85,61.74,3.35,0.0
2025-01-15,24.73,31.89,19.73,66.68,2.91,0.0
2025-01-16,24.19,31.68,18.88,66.17,2.55,0.0
2025-01-17,24.94,32.8,19.41,56.29,4.23,0.0
2025-01-18,24.64,32.83,18.46,51.64,4.66,0.0
2025-01-19,24.09,33.16,17.83,52.92,3.72,0.0
2025-01-20,24.24,33.81,17.32,50.13,3.35,0.0
2025-01-21,23.72,33.54,16.7,50.94,3.02,0.0
2025-01-22,23.63,33.74,16.51,51.95,2.8,0.0
2025-01-23,23.4,33.53,16.03,51.46,3.07,0.0
2025-01-24,24.75,35.53,17.25,53.97,3.39,0.0
2025-01-25,26.19,36.16,19.08,52.91,3.49,0.0
2025-01-26,26.44,36.39,19.6,50.87,3.3,0.0
2025-01-27,26.02,35.93,19.73,49.78,2.85,0.0
2025-01-28,25.55,34.98,19.63,47.92,2.28,0.0
2025-01-29,25.52,35.09,19.56,46.76,2.46,0.0
2025-01-30,24.91,34.96,18.06,49.07,2.89,0.0
2025-01-31,23.58,32.39,17.27,53.3,2.76,0.0
2025-02-01,23.02,31.05,17.22,55.8,2.88,0.0
2025-02-02,24.32,34.24,17.46,47.32,2.59,0.0
2025-02-03,24.27,31.18,20.04,54.08,2.69,0.0
2025-02-04,23.48,31.61,17.79,57.64,3.19,0.0
2025-02-05,23.93,34.22,16.34,46.89,3.45,0.0
2025-02-06,25.5,36.12,17.61,48.34,2.88,0.0
2025-02-07,26.73,36.63,20.07,49.26,3.51,0.0
2025-02-08,27.08,36.41,20.27,47.38,2.7,0.0
2025-02-09,27.21,35.87,21.05,46.35,2.82,0.0
2025-02-10,26.69,35.31,20.8,42.53,3.3,0.0
2025-02-11,25.99,35.3,19.28,40.72,3.19,0.0
2025-02-12,25.88,36.36,18.15,37.42,3.33,0.0
2025-02-13,26.87,38.41,18.19,32.54,3.57,0.0
2025-02-14,27.32,37.95,19.66,32.27,4.0,0.0
2025-02-15,27.51,37.98,19.62,30.96,3.89,0.0
2025-02-16,27.19,37.48,19.65,33.64,3.64,0.01
2025-02-17,27.19,37.68,19.26,40.96,3.35,0.17
2025-02-18,27.59,37.67,19.91,38.47,3.39,0.08
2025-02-19,27.36,37.08,20.23,40.6,3.47,0.0
2025-02-20,28.16,38.08,19.88,35.31,3.96,0.01
2025-02-21,28.94,39.12,21.02,29.24,4.34,0.0
2025-02-22,29.28,39.52,22.16,29.68,4.0,0.0
2025-02-23,29.1,39.15,21.56,28.85,3.84,0.0
2025-02-24,29.17,38.97,21.54,26.56,3.8,0.0
2025-02-25,29.47,39.22,22.43,28.68,3.59,0.0
2025-02-26,29.86,39.66,21.84,32.05,3.06,0.0
2025-02-27,29.84,39.58,22.61,32.37,3.47,0.0
2025-02-28,29.71,38.55,22.56,32.22,3.09,0.0
2025-03-01,29.61,38.77,22.81,35.58,3.22,0.01
2025-03-02,29.43,39.28,22.39,34.91,3.75,0.0
2025-03-03,29.92,39.98,21.82,31.6,4.4,0.49
2025-03-04,29.9,39.1,22.69,27.22,4.99,0.0
2025-03-05,29.34,40.43,20.12,18.57,4.05,0.0
2025-03-06,28.67,39.96,19.72,17.61,4.34,0.0
2025-03-07,29.04,40.09,20.16,21.5,3.85,0.0
2025-03-08,29.14,39.38,21.28,31.87,3.26,0.0
2025-03-09,30.18,41.58,21.1,39.44,3.17,0.0
2025-03-10,31.55,42.01,23.17,29.08,3.38,0.0
2025-03-11,31.97,41.18,25.24,35.49,3.24,0.0
2025-03-12,31.63,41.14,24.93,40.79,2.58,0.04
2025-03-13,31.33,40.62,24.27,41.68,2.95,0.07
2025-03-14,30.55,39.68,23.33,45.59,3.11,0.04
2025-03-15,30.33,39.9,22.3,45.16,3.19,0.02
2025-03-16,30.04,38.98,23.75,45.97,3.49,0.0
2025-03-17,29.52,37.91,22.97,42.97,3.76,0.61
2025-03-18,29.41,38.65,22.76,43.21,2.74,0.02
2025-03-19,28.73,38.14,21.66,48.4,2.61,0.0
2025-03-20,29.23,38.09,21.72,40.1,3.98,0.0
2025-03-21,27.68,35.82,22.39,48.31,3.25,0.0
2025-03-22,28.84,37.96,21.2,44.3,2.81,0.11
2025-03-23,30.07,40.43,21.55,43.43,2.45,0.26
2025-03-24,30.72,40.94,23.14,46.84,2.38,0.1
2025-03-25,30.67,40.96,23.14,39.7,2.96,0.48
2025-03-26,29.33,37.54,24.35,51.77,2.76,0.07
2025-03-27,28.63,35.68,23.16,52.73,3.23,0.0
2025-03-28,29.84,38.99,22.34,46.97,3.04,0.0
2025-03-29,31.78,42.15,23.48,23.77,3.39,0.0
2025-03-30,32.06,41.63,25.52,28.11,2.61,0.22
2025-03-31,32.49,42.04,25.83,40.92,2.11,0.33
2025-04-01,32.48,39.46,26.4,37.36,2.38,0.1
2025-04-02,33.0,41.21,27.47,39.44,3.12,0.16
2025-04-03,30.55,37.28,25.58,57.68,2.42,1.56
2025-04-04,30.67,38.2,25.62,53.09,2.65,1.18
2025-04-05,31.68,41.06,23.56,39.45,3.51,2.1
2025-04-06,32.01,42.44,23.78,42.12,3.32,0.47
2025-04-07,32.6,42.92,24.21,40.05,3.42,0.01
2025-04-08,33.21,43.49,25.56,30.76,3.37,0.0
2025-04-09,32.71,43.19,25.45,41.76,3.14,0.02
2025-04-10,31.19,40.21,24.65,57.75,3.03,0.04
2025-04-11,30.25,37.77,24.42,56.84,2.94,0.01
2025-04-12,29.91,38.32,23.62,57.67,2.8,0.0
2025-04-13,31.21,40.77,23.1,52.92,3.44,0.0
2025-04-14,31.71,41.35,23.79,47.64,4.35,0.0
2025-04-15,31.08,40.7,23.29,51.84,3.66,0.0
2025-04-16,30.8,39.8,24.83,60.95,3.09,0.0
2025-04-17,30.89,39.78,25.38,58.98,2.74,0.0
2025-04-18,31.07,39.23,25.33,58.49,2.73,0.0
2025-04-19,31.3,39.54,25.3,56.71,3.12,0.0
2025-04-20,31.14,39.86,24.2,53.89,3.15,0.0
2025-04-21,31.38,40.27,24.92,56.84,3.06,0.07
2025-04-22,32.04,41.03,24.15,50.28,3.25,0.03
2025-04-23,32.48,41.66,26.02,49.17,2.46,0.22
2025-04-24,32.0,40.58,25.66,49.69,2.34,0.03
2025-04-25,31.43,39.11,25.71,46.44,2.46,0.0
2025-04-26,31.63,40.44,25.38,48.24,2.33,0.01
2025-04-27,32.0,41.28,24.4,50.96,3.01,0.0
2025-04-28,32.22,41.26,25.24,52.29,2.78,0.03
2025-04-29,31.48,39.58,25.09,54.1,2.67,0.02
2025-04-30,31.56,39.15,24.9,54.02,2.85,0.08
2025-05-01,32.02,41.48,24.51,54.24,3.46,0.04
2025-05-02,32.26,41.29,24.76,53.25,3.4,0.01
2025-05-03,31.55,39.9,25.85,53.47,2.87,0.03
2025-05-04,29.54,35.18,24.79,59.54,2.93,0.02
2025-05-05,30.58,37.49,25.7,61.88,2.62,0.04
2025-05-06,29.53,34.55,26.06,61.27,2.41,1.96
2025-05-07,28.52,32.79,25.85,69.58,3.66,11.4
2025-05-08,27.9,30.9,25.82,78.09,3.56,16.0
2025-05-09,28.68,33.41,25.08,75.34,3.56,9.76
2025-05-10,29.46,35.77,24.97,68.94,2.79,3.14
2025-05-11,30.0,36.86,25.28,63.86,2.62,2.27
2025-05-12,30.54,36.47,26.4,64.26,2.48,1.69
2025-05-13,30.67,35.67,27.16,65.33,2.04,8.18
2025-05-14,30.94,37.52,27.06,65.6,2.08,5.56
2025-05-15,30.49,35.52,26.87,69.38,2.05,3.36
2025-05-16,30.02,34.46,27.12,72.07,2.54,2.52
2025-05-17,29.98,34.78,26.73,72.55,2.7,4.57
2025-05-18,30.03,33.99,27.0,72.92,2.4,3.56
2025-05-19,28.93,32.7,26.94,80.02,2.65,9.43
2025-05-20,29.61,33.3,26.9,81.77,2.31,28.04
2025-05-21,29.1,32.38,27.09,83.04,2.14,11.29
2025-05-22,28.57,31.34,26.87,83.3,1.66,16.94
2025-05-23,29.62,34.21,26.33,77.21,2.25,5.02
2025-05-24,28.48,30.68,26.7,84.38,2.37,31.52
2025-05-25,27.79,29.85,26.57,86.53,4.43,68.55
2025-05-26,28.04,30.87,26.15,86.8,5.49,100.34
2025-05-27,27.43,29.0,26.37,89.56,3.84,33.64
2025-05-28,28.25,30.74,26.46,88.13,3.98,13.21
2025-05-29,28.33,30.43,26.9,88.6,4.2,10.94
2025-05-30,28.86,31.93,26.71,82.54,4.71,1.1
2025-05-31,28.78,32.12,26.65,81.77,4.74,2.77
2025-06-01,28.89,32.34,26.45,82.82,4.98,7.89
2025-06-02,28.41,31.32,26.35,84.43,5.08,5.06
2025-06-03,28.28,31.48,25.65,84.52,4.94,11.28
2025-06-04,27.98,31.12,25.65,83.16,3.62,6.15
2025-06-05,28.16,31.91,25.16,81.56,2.43,3.75
2025-06-06,28.17,31.72,25.68,82.59,2.44,11.87
2025-06-07,27.69,31.37,25.61,84.61,2.36,15.46
2025-06-08,28.34,32.4,25.27,81.89,2.55,0.57
2025-06-09,28.45,31.87,25.97,81.76,3.73,0.19
2025-06-10,28.51,32.56,25.11,79.95,3.46,0.41
2025-06-11,28.52,31.56,26.1,83.45,3.65,2.94
2025-06-12,28.35,30.47,26.99,89.0,4.44,14.24
2025-06-13,27.81,29.5,26.44,89.31,4.14,25.31
2025-06-14,28.28,30.75,26.5,89.91,2.74,25.92
2025-06-15,27.63,29.01,26.59,93.16,3.72,47.35
2025-06-16,27.37,29.03,26.62,91.02,7.12,93.66
2025-06-17,28.04,30.13,26.59,86.35,7.82,23.92
2025-06-18,27.91,29.7,26.47,88.7,7.05,88.05
2025-06-19,27.38,28.84,26.47,90.74,6.72,55.21
2025-06-20,27.75,29.89,26.12,88.72,6.68,16.29
2025-06-21,27.61,29.91,26.21,88.63,6.24,11.84
2025-06-22,27.48,29.61,25.88,88.28,6.43,13.85
2025-06-23,27.38,29.48,25.95,88.5,7.24,29.96
2025-06-24,27.29,29.23,25.89,89.75,6.63,22.52
2025-06-25,27.45,29.54,26.12,88.88,6.8,10.67
2025-06-26,27.23,29.2,25.93,89.04,6.57,16.88
2025-06-27,27.11,28.94,25.95,89.33,6.92,20.06
2025-06-28,27.06,29.28,25.32,87.28,7.45,12.15
2025-06-29,26.75,28.26,25.66,90.34,6.47,12.81
2025-06-30,27.05,28.78,25.82,89.31,6.82,16.89
2025-07-01,26.73,28.46,25.41,90.0,6.17,21.23
2025-07-02,26.55,27.87,25.51,91.28,5.47,32.22
2025-07-03,26.79,28.5,25.65,89.93,7.05,36.59
2025-07-04,26.84,28.69,25.63,89.85,7.45,27.31
2025-07-05,26.61,28.16,25.61,91.31,6.78,42.63
2025-07-06,26.55,28.28,25.25,90.09,6.96,30.2
2025-07-07,26.54,28.12,25.42,89.8,6.04,14.49
2025-07-08,26.49,28.17,25.13,90.65,5.59,8.2
2025-07-09,26.44,28.1,25.13,90.84,5.13,16.02
2025-07-10,26.73,28.95,24.96,90.55,4.52,9.58
2025-07-11,26.77,29.06,25.13,90.09,4.19,12.23
2025-07-12,26.73,29.14,25.0,89.88,4.49,11.73
2025-07-13,26.8,29.26,24.93,89.74,4.95,11.93
2025-07-14,26.91,28.9,25.26,90.52,6.1,31.44
2025-07-15,26.94,29.09,25.5,90.66,5.14,39.11
2025-07-16,26.83,29.29,25.25,90.72,4.05,9.19
2025-07-17,26.68,29.23,24.84,89.74,3.45,2.21
2025-07-18,26.79,29.53,24.67,88.48,3.65,2.04
2025-07-19,26.78,29.49,24.74,89.53,3.88,6.0
2025-07-20,27.09,29.86,24.84,88.76,3.97,22.0
2025-07-21,26.9,29.16,25.24,90.87,4.23,47.27
2025-07-22,26.74,28.7,25.18,90.66,4.37,35.44
2025-07-23,26.48,28.1,25.23,91.73,5.03,53.02
2025-07-24,26.71,28.59,25.42,91.19,5.59,41.4
2025-07-25,26.5,28.12,25.24,91.9,6.0,57.88
2025-07-26,26.1,27.36,25.3,92.51,6.68,54.89
2025-07-27,26.1,27.65,25.19,90.58,7.33,27.16
2025-07-28,26.02,27.77,24.84,89.98,7.51,16.23
2025-07-29,25.77,27.26,24.78,90.45,7.48,14.29
2025-07-30,25.87,27.52,24.7,91.19,5.72,9.63
2025-07-31,26.15,28.37,24.66,90.38,5.73,6.84
2025-08-01,26.1,28.64,24.25,90.25,4.75,3.94
2025-08-02,25.9,28.31,23.97,90.73,3.78,6.59
2025-08-03,26.26,29.35,23.95,89.67,3.4,4.35
2025-08-04,26.3,29.12,24.17,89.53,3.18,1.83
2025-08-05,26.35,29.56,24.32,89.21,2.74,3.74
2025-08-06,26.58,29.75,24.01,88.0,2.42,4.55
2025-08-07,26.54,28.98,24.91,88.8,2.54,4.13
2025-08-08,26.47,29.29,24.45,88.25,2.11,3.4
2025-08-09,26.35,29.02,24.43,87.62,2.29,9.14
2025-08-10,26.23,29.3,24.14,87.57,2.17,11.53
2025-08-11,26.28,28.65,24.27,89.3,3.09,13.59
2025-08-12,26.26,29.14,24.23,88.8,2.82,5.51
2025-08-13,26.16,28.81,24.39,90.4,3.02,26.15
2025-08-14,26.1,28.21,24.48,90.64,3.59,20.51
2025-08-15,25.72,27.8,24.3,92.22,3.1,53.06
2025-08-16,25.75,27.82,24.39,92.74,3.79,69.3
2025-08-17,26.08,27.94,24.73,93.43,4.75,60.78
2025-08-18,25.64,26.63,24.88,93.61,7.01,96.42
2025-08-19,25.59,26.88,24.68,93.58,7.22,142.85
2025-08-20,25.55,26.93,24.52,92.0,7.65,69.09
2025-08-21,25.99,27.95,24.62,90.71,6.35,10.82
2025-08-22,25.99,28.19,24.43,89.86,5.83,8.08
2025-08-23,25.82,27.89,24.48,89.15,6.25,9.05
2025-08-24,25.88,28.39,24.26,88.07,6.3,11.13
2025-08-25,25.55,27.31,24.39,90.68,5.72,26.8
2025-08-26,25.64,27.69,24.27,91.85,4.79,16.08
2025-08-27,25.81,27.51,24.06,92.52,2.87,19.75
2025-08-28,25.98,28.45,24.51,92.99,3.31,15.99
2025-08-29,26.18,28.73,24.11,91.01,2.67,28.51
2025-08-30,26.36,29.06,24.5,91.58,3.52,7.57
2025-08-31,26.32,28.99,24.49,91.56,4.21,12.1
2025-09-01,24.9,26.51,24.03,94.33,3.47,14.62
2025-09-02,25.34,27.14,24.17,93.33,3.02,15.76
2025-09-03,25.47,27.58,24.28,92.51,3.0,10.43
2025-09-04,24.84,25.8,24.17,94.12,2.61,7.7
2025-09-05,24.83,26.32,23.85,94.36,2.61,11.6
2025-09-06,25.02,26.26,24.24,93.87,2.87,15.71
2025-09-07,25.13,26.5,24.15,92.38,3.3,9.02
2025-09-08,25.44,28.19,23.54,90.25,2.59,3.14
2025-09-09,25.52,29.15,22.96,87.44,1.81,1.05
2025-09-10,25.82,29.64,23.26,84.52,1.32,0.29
2025-09-11,25.85,29.6,23.52,84.85,1.46,2.48
2025-09-12,25.9,29.14,23.81,86.16,1.8,4.71
2025-09-13,25.49,28.72,23.72,89.79,1.6,13.46
2025-09-14,25.42,28.12,23.71,93.05,1.93,27.43
2025-09-15,24.78,25.49,24.27,96.2,2.2,64.69
2025-09-16,25.18,26.66,23.97,93.98,1.64,17.94
2025-09-17,25.74,28.67,23.89,90.98,1.38,13.63
2025-09-18,25.81,28.23,24.32,90.89,1.54,16.39
2025-09-19,25.77,28.34,24.28,91.27,1.74,17.95
2025-09-20,25.72,28.05,24.02,90.75,1.89,16.2
2025-09-21,25.98,28.79,24.76,90.59,1.89,17.89
2025-09-22,25.53,27.64,24.46,92.16,1.91,19.96
2025-09-23,24.95,26.81,23.98,92.91,1.84,4.82
2025-09-24,25.74,29.03,23.69,86.44,1.83,3.26
2025-09-25,25.47,29.12,23.06,87.47,1.69,3.44
2025-09-26,25.93,29.21,23.66,86.72,1.54,8.32
2025-09-27,25.52,27.68,24.29,92.68,2.39,18.01
2025-09-28,24.37,25.17,23.8,96.43,4.43,95.1
2025-09-29,24.38,25.91,22.96,91.26,4.27,7.25
2025-09-30,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025-10-02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
