date,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,PRECTOTCORR
2024-01-12,26.46,34.97,20.36,54.63,3.59,0.0
2024-01-13,26.0,34.47,20.05,56.25,3.44,0.0
2024-01-14,24.57,32.99,18.51,51.18,3.51,0.0
2024-01-15,22.46,31.48,15.99,46.99,3.51,0.0
2024-01-16,21.47,30.62,14.44,50.53,2.62,0.0
2024-01-17,21.76,29.29,15.56,59.44,2.28,0.0
2024-01-18,22.0,29.41,16.33,60.56,2.22,0.0
2024-01-19,22.18,30.46,15.24,54.63,2.57,0.0
2024-01-20,22.66,29.74,17.85,56.87,2.29,0.0
2024-01-21,22.93,32.55,15.05,50.56,2.77,0.0
2024-01-22,23.03,32.35,16.42,50.34,3.82,0.0
2024-01-23,21.87,31.41,14.75,42.88,3.99,0.0
2024-01-24,21.74,31.96,13.72,39.82,3.56,0.0
2024-01-25,22.39,32.85,13.91,38.69,3.58,0.0
2024-01-26,23.54,33.9,15.71,39.77,3.67,0.0
2024-01-27,24.88,34.96,17.78,41.99,3.01,0.0
2024-01-28,24.99,34.38,18.21,43.14,3.05,0.0
2024-01-29,24.95,34.21,18.09,41.04,3.06,0.0
2024-01-30,24.42,33.18,18.03,42.87,3.02,0.0
2024-01-31,24.11,32.36,18.14,50.28,2.57,0.0
2024-02-01,23.02,30.33,16.97,62.49,2.56,0.04
2024-02-02,23.82,32.46,16.68,58.78,3.05,0.0
2024-02-03,26.23,36.15,18.7,43.6,3.65,0.0
2024-02-04,27.23,36.59,20.45,43.02,3.05,0.0
2024-02-05,27.02,35.53,21.29,44.68,2.72,0.0
2024-02-06,26.68,36.01,19.8,45.82,2.72,0.0
2024-02-07,26.43,35.76,19.35,48.38,3.33,0.0
2024-02-08,26.32,36.82,18.53,41.94,3.45,0.0
2024-02-09,26.04,35.86,18.64,42.83,2.97,0.0
2024-02-10,25.17,34.62,18.07,39.59,3.22,0.0
2024-02-11,24.96,35.01,16.88,36.76,2.93,0.0
2024-02-12,25.42,34.81,18.09,39.34,2.69,0.0
2024-02-13,25.08,34.25,17.55,41.39,2.84,0.0
2024-02-14,25.71,35.96,17.9,32.14,3.8,0.0
2024-02-15,26.63,37.08,18.46,33.67,3.33,0.0
2024-02-16,28.04,37.5,21.15,41.09,3.37,0.0
2024-02-17,28.61,37.78,22.14,38.58,2.65,0.0
2024-02-18,28.23,37.12,21.91,38.04,2.33,0.0
2024-02-19,27.57,36.24,21.36,39.26,2.29,0.0
2024-02-20,26.05,34.35,19.21,55.65,3.05,0.0
2024-02-21,25.18,32.6,19.9,67.66,2.79,0.0
2024-02-22,25.0,32.91,20.06,65.1,2.85,0.0
2024-02-23,24.63,33.49,17.84,54.44,2.97,0.0
2024-02-24,24.68,34.73,16.81,28.2,3.7,0.0
2024-02-25,25.28,36.44,15.55,21.75,3.5,0.0
2024-02-26,28.0,38.04,19.64,31.49,3.16,0.0
2024-02-27,29.1,37.33,23.68,36.8,2.57,0.01
2024-02-28,30.16,39.29,23.13,39.52,3.17,0.0
2024-02-29,30.79,40.05,23.13,40.75,2.66,0.18
2024-03-01,30.23,38.31,25.11,51.93,2.29,0.95
2024-03-02,27.82,34.93,23.01,60.91,3.26,0.37
2024-03-03,25.06,30.41,20.08,63.04,4.2,0.09
2024-03-04,24.15,32.61,17.67,45.96,3.25,0.0
2024-03-05,24.8,35.13,16.1,31.66,3.03,0.0
2024-03-06,25.53,34.49,18.53,29.34,2.72,0.0
2024-03-07,27.12,37.65,17.86,32.64,3.49,0.0
2024-03-08,28.4,38.15,20.27,29.81,4.14,0.0
2024-03-09,28.74,38.82,20.4,29.07,3.55,0.0
2024-03-10,28.33,38.0,20.17,31.3,2.99,0.0
2024-03-11,28.96,39.31,20.65,33.83,3.44,0.02
2024-03-12,28.98,38.82,21.37,42.17,3.42,0.03
2024-03-13,27.69,36.51,21.02,54.48,3.39,0.0
2024-03-14,26.78,35.59,20.5,53.52,3.2,0.0
2024-03-15,25.92,34.75,19.07,50.69,2.59,0.0
2024-03-16,26.32,34.82,19.8,46.77,2.43,0.0
2024-03-17,27.28,36.04,20.45,47.09,2.18,0.0
2024-03-18,27.84,36.71,21.17,50.8,2.36,0.0
2024-03-19,28.27,37.48,20.95,53.7,3.05,0.08
2024-03-20,29.79,40.65,20.08,29.75,3.74,0.02
2024-03-21,30.21,40.15,22.09,22.3,3.35,0.01
2024-03-22,29.91,39.41,23.43,37.13,2.38,0.1
2024-03-23,29.45,38.39,21.74,45.86,3.04,0.02
2024-03-24,29.98,39.08,23.02,49.81,2.78,0.0
2024-03-25,30.2,39.93,22.86,50.83,3.05,0.01
2024-03-26,30.35,40.59,23.15,55.7,2.38,0.02
2024-03-27,30.76,40.74,24.59,56.82,2.52,0.06
2024-03-28,30.72,39.67,24.77,56.87,2.54,0.03
2024-03-29,31.67,39.65,25.59,52.97,2.63,0.25
2024-03-30,31.01,40.13,24.45,53.24,3.1,0.01
2024-03-31,31.52,39.75,25.14,46.06,3.16,0.01
2024-04-01,30.76,39.26,24.42,45.94,3.11,0.0
2024-04-02,30.07,39.27,23.28,47.34,2.78,0.0
2024-04-03,30.32,39.57,23.57,48.47,2.58,0.0
2024-04-04,30.61,40.1,22.9,48.91,3.27,0.0
2024-04-05,31.18,40.47,24.02,53.18,3.32,0.19
2024-04-06,31.6,40.59,24.17,45.42,3.78,0.43
2024-04-07,30.77,39.51,24.79,48.07,3.49,0.0
2024-04-08,30.63,40.39,22.73,52.42,2.6,0.0
2024-04-09,30.93,39.92,24.34,53.32,2.2,0.01
2024-04-10,31.09,40.06,24.09,52.2,2.66,0.01
2024-04-11,31.32,40.84,23.64,46.27,2.79,0.01
2024-04-12,31.09,38.93,25.59,45.51,2.47,0.01
2024-04-13,29.92,38.19,23.91,50.14,2.51,0.0
2024-04-14,30.47,39.64,23.04,54.24,2.67,0.02
2024-04-15,33.32,43.01,25.27,50.75,2.96,0.02
2024-04-16,36.44,43.22,30.17,32.35,4.05,0.02
2024-04-17,35.49,43.41,29.41,35.53,3.08,0.01
2024-04-18,33.91,41.84,27.47,50.19,2.99,0.07
2024-04-19,33.06,39.78,28.13,50.15,3.67,0.05
2024-04-20,32.52,40.53,28.0,49.89,3.29,0.31
2024-04-21,31.63,38.4,26.63,49.78,3.79,0.77
2024-04-22,31.65,38.59,26.54,51.33,3.35,0.16
2024-04-23,31.49,39.32,25.0,50.13,3.31,0.0
2024-04-24,31.55,39.91,25.29,52.67,2.84,0.33
2024-04-25,32.35,40.94,26.22,50.83,2.93,0.21
2024-04-26,32.9,40.55,27.08,50.29,3.72,0.41
2024-04-27,33.98,43.04,26.64,47.74,3.24,0.22
2024-04-28,34.83,44.11,27.45,46.03,3.52,0.03
2024-04-29,34.4,43.21,27.57,41.45,3.87,0.01
2024-04-30,33.84,43.06,26.08,44.3,3.4,0.03
2024-05-01,32.15,40.28,26.16,48.07,3.18,0.0
2024-05-02,31.45,40.56,24.59,49.75,2.67,0.0
2024-05-03,30.95,39.41,23.84,50.19,2.98,0.0
2024-05-04,31.18,39.44,24.36,54.78,3.15,0.01
2024-05-05,32.39,40.86,26.17,56.44,3.54,0.04
2024-05-06,31.72,39.3,26.48,59.1,3.75,0.07
2024-05-07,31.68,39.5,26.22,60.87,3.44,0.06
2024-05-08,31.9,40.67,26.13,55.98,3.07,0.12
2024-05-09,31.33,39.29,25.5,58.65,3.05,0.1
2024-05-10,31.95,40.22,26.48,56.2,2.99,1.41
2024-05-11,32.5,40.45,26.9,53.35,3.38,4.43
2024-05-12,31.4,37.58,26.82,61.88,2.19,7.3
2024-05-13,32.3,39.44,27.09,58.66,1.98,3.05
2024-05-14,32.33,40.26,26.32,59.77,3.13,5.09
2024-05-15,32.26,38.95,26.88,61.98,2.04,8.77
2024-05-16,33.03,40.1,28.05,59.67,2.21,2.38
2024-05-17,32.1,37.52,28.08,64.63,2.19,1.55
2024-05-18,32.94,40.04,27.92,61.18,2.21,0.71
2024-05-19,33.15,40.47,28.15,58.77,2.48,0.86
2024-05-20,32.85,40.37,28.13,61.37,2.81,1.12
2024-05-21,32.49,39.31,28.33,64.86,3.03,0.76
2024-05-22,33.21,40.68,28.23,64.65,2.93,0.82
2024-05-23,33.46,40.08,28.74,58.74,2.93,0.19
2024-05-24,32.49,39.69,27.78,63.89,3.4,0.05
